word,frequency
network,335837
studies,335411
sent,335267
either,333915
space,332931
close,330883
washington,330258
added,330072
independent,329812
books,329106
news,328836
previous,328767
uk,328048
provided,327914
fourth,327152
eight,327151
studio,326382
replaced,325727
gold,325629
capital,324159
middle,323124
robert,322465
rather,321985
competition,321945
soon,321628
ten,319968
killed,319669
thomas,319214
degree,319181
campaign,319053
section,318411
china,317593
canadian,316661
medical,315315
awards,314987
professor,314804
d,314615
charles,314318
above,314314
almost,313383
reached,313124
grand,312838
tournament,312571
stated,312313
countries,312264
change,311814
russian,311708
saw,311673
least,311476
coast,310807
model,310295
chinese,309662
conference,309456
bank,308824
big,308681
decided,308616
japanese,308286
magazine,308189
historic,307879
movement,307824
car,307703
lower,307550
senior,307309
kingdom,306722
sports,306335
approximately,306235
aircraft,306189
previously,304801
provide,304168
families,303335
action,302849
base,302801
placed,302300
attack,301922
via,301912
introduced,301305
organization,301301
post,300586
native,300386
successful,300280
womens,299927
success,299736
green,299257
behind,298639
female,297629
ground,297345
bridge,297266
whose,297056
primary,296388
systems,296165
beginning,296067
brought,295868
type,295793
management,295671
attended,295532
writing,295267
hospital,295122
parts,295017
put,294888
buildings,294812
scored,293758
outside,293319
sometimes,293074
valley,292645
size,291868
market,291826
active,291523
los,291252
technology,291209
industry,291033
week,290789
italian,290243
data,289674
tv,289221
listed,287620
paul,287310
spanish,286918
natural,285204
star,285076
start,285003
hill,284492
especially,284306
theatre,283605
too,282222
republic,281869
japan,281631
regional,281381
winning,281155
changed,280600
leader,280488
higher,280197
bay,279112
collection,279012
taking,278993
operations,278402
regular,278174
generally,277965
contract,276378
goal,276360
possible,276298
come,275518
plays,275376
economic,275282
defeated,275244
significant,275104
units,274726
far,274504
interest,274332
strong,274015
runs,273076
officer,273044
hit,272909
square,272843
future,272797
limited,272766
foreign,272633
traditional,271782
michael,271461
today,271313
towards,271301
owned,271252
trade,270839
real,270498
novel,270176
african,269863
allowed,269272
henry,269212
represented,268881
low,268619
initially,267782
whom,267547
money,267421
spent,266786
governor,266307
met,265504
municipality,265405
itself,264804
roman,264693
staff,264643
ship,264531
food,264214
christian,264115
standard,263871
ended,263792
commission,262934
child,262754
ever,262242
annual,262051
africa,261848
artists,261702
artist,261604
prior,261581
me,261565
student,260782
catholic,259447
medal,259386
numerous,259030
texas,259007
energy,258878
channel,258631
course,258002
find,257386
means,257064
property,256190
v,256172
noted,255911
plan,255816
operation,255560
commercial,254805
parliament,254285
required,254262
unit,254076
associated,253567
earlier,253344
championships,252759
structure,252104
companies,251340
navy,251283
command,251272
assembly,251267
foundation,250938
opening,250885
paris,250683
running,250291
woman,249153
income,249091
older,248879
additional,248863
blue,248515
e,248269
plant,248031
contains,247798
below,247383
musical,247297
culture,247185
library,247022
bill,246846
launched,246838
ran,246772
practice,246680
km,246335
our,245675
mountain,245295
seat,245290
finally,244844
studied,244691
already,244310
entered,244306
related,244154
access,244142
characters,244058
subsequently,243880
report,243501
lived,243496
better,243365
security,243296
financial,243294
highway,243252
executive,243211
places,243112
manager,243008
sound,242857
dr,242329
soviet,242167
past,241804
move,241714
individual,241545
press,241234
victory,240899
closed,240596
albums,240148
edition,239541
famous,239140
rest,238784
rural,238760
increased,238628
captain,238519
person,237966
becoming,237653
brown,237288
complete,236122
